000000.png	[[1.4452, 1.5907, 3.6789, 0.7372, 1.19, 37.0048, -1.6094], [1.4971, 1.5564, 3.4343, 13.767, 1.61, 24.0951, -1.6117], [1.4209, 1.5774, 3.8014, 19.204, 1.6998, 24.459, 1.5567], [1.4246, 1.5059, 3.2115, 16.276, 1.673, 23.772, -1.6766]]	[[array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])]]
000001.png	[[1.4784, 1.6124, 3.9508, 11.5811, 0.018, 47.4688, 0.0105], [1.7653, 1.7007, 4.202, -8.1411, 0.7822, 45.5983, 1.5976], [1.4415333333333333, 1.5833666666666666, 3.6360916666666667, 0.7749961296850955, 1.1472041933549992, 37.02119841642804, -1.5852916666666665], [1.4729916666666667, 1.5751916666666665, 3.450708333333333, 13.77959866067135, 1.5368071527635594, 24.069002673206008, -1.6084], [1.4654500000000001, 1.5862916666666667, 3.7530916666666667, 19.105409767677457, 1.6670030764832726, 24.35911004910279, 1.5445083333333334], [1.4033333333333333, 1.5087416666666666, 3.4094083333333334, 16.340893437670896, 1.6173053866539993, 23.809596313069637, -1.665875]]	[[array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.039]), array([-0.042]), array([0.016])], [array([0.013]), array([-0.072]), array([-0.027])], [array([-0.098]), array([-0.031]), array([-0.1])], [array([0.066]), array([-0.054]), array([0.037])]]
000002.png	[[1.5716, 1.6366, 3.7818, 14.1559, 0.7101, 40.0834, -0.0531], [1.4793, 1.6008, 3.8178, 7.2604, 1.0522, 33.5834, -0.6985], [1.4784, 1.6124, 3.9508, 11.575404885122683, 0.01835584552318087, 47.47073051580823, 0.0105], [1.6589666666666667, 1.5977583333333334, 3.4940583333333333, -7.850329592291188, 0.9291853989427337, 45.285831196568296, -1.4811160544658162], [1.4353342857142857, 1.57478, 3.5408114285714287, 0.7117865725695134, 1.1316751645315146, 36.97737866507376, -1.5985714285714285], [1.4881771428571429, 1.5581114285714284, 3.4303971428571427, 13.760530058765669, 1.551875002197717, 24.052588518308283, -1.6124085714285714], [1.4734342857142857, 1.5898457142857143, 3.8084942857142856, 19.130427443781315, 1.6907718088179793, 24.413108045645824, 1.5418085714285714], [1.3879342857142856, 1.4999742857142857, 3.299397142857143, 16.32584585069915, 1.666350454281266, 23.7705947126818, -1.6658257142857142]]	[[array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.]), array([0.]), array([0.])], [array([0.296]), array([0.146]), array([-0.312])], [array([-0.04]), array([-0.021]), array([-0.033])], [array([-0.01]), array([-0.001]), array([-0.02])], [array([0.005]), array([0.014]), array([0.023])], [array([0.003]), array([0.03]), array([-0.027])]]
000003.png	[[1.740802857142857, 1.6454285714285715, 3.7429457142857143, -8.002820905742997, 0.75288979159682, 45.426734218311545, -1.508048361531137], [1.469801075268817, 1.5897602150537635, 3.5538387096774193, 0.6686712085331286, 1.1501478062586878, 36.998404959599206, -1.591541935483871], [1.4607505376344085, 1.5573559139784945, 3.4806655913978495, 13.764770815621796, 1.541060434288626, 24.08369800510108, -1.6181408602150538], [1.449215053763441, 1.5765956989247312, 3.8317602150537633, 19.15051951842532, 1.6869251106750727, 24.466075964659368, 1.5401193548387095], [1.4074956989247311, 1.5207580645161292, 3.2572397849462362, 16.332827603647203, 1.6763207045831086, 23.790167082661565, -1.665310752688172]]	[[array([-0.069]), array([-0.116]), array([0.055])], [array([-0.042]), array([-0.001]), array([-0.006])], [array([-0.003]), array([-0.007]), array([0.006])], [array([0.013]), array([0.004]), array([0.038])], [array([0.005]), array([0.019]), array([-0.003])]]
000004.png	[[1.4918578947368422, 1.6027657894736842, 3.977628947368421, 11.703674249802884, 0.22236897361037267, 47.43133916341604, -0.03111315789473684], [1.759448387096774, 1.6522709677419356, 3.7029408602150538, -8.001752253801572, 0.7579585544013556, 45.4010124867086, -1.510263361866557], [1.4616934426229509, 1.6045754098360656, 3.6965840163934427, 0.7093270354091211, 1.2108893987975935, 36.99520757583074, -1.6084725409836065], [1.4949418032786885, 1.5635717213114753, 3.4378622950819673, 13.776397147845808, 1.5251448369813931, 24.098914623746253, -1.6290073770491802], [1.4863987704918034, 1.572080737704918, 3.784380737704918, 19.177591258984375, 1.6557652025583862, 24.477803518742046, 1.5431397540983605], [1.3925840163934426, 1.5004856557377049, 3.2184749999999998, 16.310195118301724, 1.6718280231124605, 23.727218287261266, -1.6691409836065574]]	[[array([0.014]), array([0.101]), array([-0.027])], [array([-0.032]), array([-0.054]), array([0.014])], [array([-0.011]), array([0.021]), array([-0.005])], [array([0.003]), array([-0.01]), array([0.009])], [array([0.018]), array([-0.008]), array([0.028])], [array([-0.004]), array([0.011]), array([-0.025])]]
000005.png	[[1.4918578947368422, 1.6027657894736842, 3.977628947368421, 11.71738634692776, 0.32606835011255797, 47.405536465253874, -0.03111315789473684], [1.7939504098360655, 1.677414344262295, 3.820745081967213, -7.995020309397698, 0.76780921593059, 45.37552990410598, -1.4935151338261878], [1.4660245696400624, 1.6149137715179969, 3.871469483568075, 0.7243180276153726, 1.2135657287948454, 37.16423486026324, -1.604409702660407], [1.4876835680751175, 1.544982785602504, 3.3409591549295774, 13.741380266182823, 1.5489167444821401, 24.067774758002326, -1.6212140845070422], [1.48942848200313, 1.5650456964006259, 3.761273708920188, 19.16013804205256, 1.6732087801144138, 24.402320361581417, 1.5459586854460095], [1.4194217527386541, 1.5144647887323943, 3.2672627543035992, 16.29042407315375, 1.678095026826538, 23.814235607259125, -1.6588543035993741]]	[[array([0.014]), array([0.101]), array([-0.027])], [array([-0.018]), array([-0.032]), array([-0.001])], [array([-0.004]), array([0.015]), array([0.042])], [array([-0.007]), array([-0.001]), array([-0.002])], [array([0.009]), array([-0.002]), array([-0.001])], [array([-0.008]), array([0.009]), array([0.005])]]
000006.png	[[1.7939504098360655, 1.677414344262295, 3.820745081967213, -8.01345077463853, 0.7354551979811201, 45.37521342292037, -1.4935151338261878], [1.4438213389121337, 1.5792436939629408, 3.554180753138075, 0.7359032023711974, 1.1525875245611925, 36.973368471492215, -1.6181862522414825], [1.5342947997609087, 1.5800369396294083, 3.4530989240884638, 13.770859744519168, 1.5773709515870198, 24.062249103119054, -1.6225650926479378], [1.4735887627017334, 1.5808395696353854, 3.8304499103407057, 19.15517089514505, 1.6949359218399802, 24.448850236730532, 1.539680095636581], [1.4091486551105799, 1.4992206814106395, 3.2135153018529587, 16.315186436088794, 1.6648915304723169, 23.731566230109735, -1.6593151823072325]]	[[array([-0.018]), array([-0.032]), array([-0.001])], [array([-0.]), array([-0.001]), array([-0.01])], [array([0.001]), array([0.006]), array([-0.003])], [array([0.006]), array([0.004]), array([0.01])], [array([-0.001]), array([0.004]), array([-0.014])]]
000007.png	[[1.4732314285714285, 1.5771085714285713, 3.7633685714285714, -21.56113309920625, -0.045015378240217035, 61.81478285646218, -1.5646285714285715], [1.4591972602739725, 1.5807617808219179, 3.568778310502283, 0.7213477147107605, 1.180231321963062, 37.02941379081493, -1.6254257762557078], [1.483433607305936, 1.5571467579908675, 3.3897508447488582, 13.729442841573986, 1.5699848815141948, 24.051882192137548, -1.6421166210045661], [1.471865205479452, 1.5976875114155251, 3.8549551141552514, 19.114649083791708, 1.7161467242693262, 24.459959866288482, 1.5256629680365297], [1.407573493150685, 1.5007529908675799, 3.0934831506849316, 16.300216438715363, 1.6605110160755985, 23.722780089176883, -1.6648063242009132]]	[[array([0.016]), array([0.045]), array([-0.18])], [array([-0.003]), array([0.004]), array([0.003])], [array([-0.007]), array([0.003]), array([-0.005])], [array([-0.003]), array([0.007]), array([0.01])], [array([-0.003]), array([0.002]), array([-0.013])]]
000008.png	[[1.541689247311828, 1.6160193548387096, 3.9089494623655914, -21.590635562200873, -0.17575121755294207, 61.757745080308716, 1.5862165900606748], [1.4548109095665822, 1.5702170140402896, 3.575775503619081, 0.7300738055528899, 1.1574421537398323, 36.99193069940388, -1.6079812767070725], [1.4915708903810936, 1.5625565623092352, 3.349547187581756, 13.740254382456907, 1.5421609675441958, 24.11654261554967, -1.6120080753466468], [1.4554469957268685, 1.5905260312200227, 3.9207417109967735, 19.170997611864482, 1.682972304453356, 24.498349586872035, 1.5383555594314118], [1.462594933286823, 1.5194466817825063, 3.074705319612802, 16.30798571458609, 1.6641598717773392, 23.687814803574735, -1.654913865875992]]	[[array([-0.008]), array([-0.045]), array([-0.118])], [array([-0.001]), array([-0.001]), array([-0.004])], [array([-0.004]), array([-0.002]), array([0.006])], [array([0.007]), array([0.]), array([0.014])], [array([-0.002]), array([0.003]), array([-0.017])]]
000009.png	[[1.472078947368421, 1.572413157894737, 3.9343526315789474, -10.146111464406754, 0.2912996014094813, 63.08330189403285, 1.5299578947368422], [1.5296340425531914, 1.631187234042553, 3.8652872340425533, 14.422450967629976, 0.5654600291209021, 40.036752206171045, -0.12596808510638297], [1.49095, 1.5953377049180328, 3.818937704918033, -21.427198133359738, -0.1279500684705106, 61.521550089170724, -1.5799593192959345], [1.446955134739016, 1.5669927217614337, 3.5321574397921456, 0.7076421089267176, 1.1983559717135717, 36.92147180069427, -1.603110379401086], [1.5059890743146465, 1.5433007461443657, 3.302238419772826, 13.734837129936464, 1.551992520352115, 24.088297688570925, -1.6065643849305487], [1.506096742280404, 1.5808686119716198, 3.8303593551180843, 19.140422730611718, 1.6837510866854781, 24.501422576130803, 1.5381976150028314], [1.4278027480763467, 1.5226934112787716, 3.177419289830452, 16.301539454193257, 1.6851271179834004, 23.733429435882865, -1.6571302188468073]]	[[array([-0.044]), array([0.022]), array([0.002])], [array([-0.033]), array([-0.025]), array([-0.065])], [array([0.055]), array([-0.013]), array([-0.161])], [array([-0.004]), array([0.005]), array([-0.014])], [array([-0.004]), array([-0.]), array([0.001])], [array([0.002]), array([0.]), array([0.012])], [array([-0.002]), array([0.005]), array([-0.008])]]
